"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"301–350","Boston CollegeUnited StatesCoursesEnquireAdmissions Support","12,904","15.7","11%","55 : 45"
"301–350","University of CanterburyNew ZealandCoursesEnquireExplore","13,089","18.0","24%","50 : 50"
"301–350","Colorado School of MinesUnited StatesCoursesEnquire","5,768","16.7","11%","29 : 71"
"301–350","Cyprus University of TechnologyCyprusCourses","3,228","17.4","8%","54 : 46"
"301–350","Deakin UniversityAustraliaCoursesEnquire","39,305","28.6","22%","58 : 42"
"301–350","University of FribourgSwitzerlandCourses","10,887","32.3","18%","59 : 41"
"301–350","Goethe University FrankfurtGermanyCourses","47,141","19.6","15%","57 : 43"
"301–350","Grenoble Alpes UniversityFranceCourses","41,411","17.6","13%","52 : 48"
"301–350","Huazhong University of Science and TechnologyChinaCoursesExplore","56,379","16.5","5%","36 : 64"
"301–350","Indian Institute of ScienceIndiaCourses","4,128","9.6","1%","23 : 77"
"301–350","Indian Institute of Technology RoparIndiaCourses","1,119","7.6","0%","13 : 87"
"301–350","Jacobs UniversityGermanyCoursesExplore","1,142","16.2","76%","45 : 55"
"301–350","Johannes Gutenberg University of MainzGermanyCourses","31,919","26.9","11%","59 : 41"
"301–350","University of KlagenfurtAustriaCourses","3,639","10.8","22%","69 : 31"
"301–350","Kyung Hee UniversitySouth KoreaCoursesExplore","22,102","17.3","22%","51 : 49"
"301–350","University of LiègeBelgiumCoursesVerify Documents","20,888","27.0","21%","56 : 44"
"301–350","University of MacauMacaoCoursesExplore","9,340","14.4","37%","57 : 43"
"301–350","University of MalayaMalaysiaCourses","15,140","8.0","20%","63 : 37"
"301–350","University of MarburgGermanyCourses","25,541","34.7","12%","55 : 45"
"301–350","Maynooth UniversityIrelandCourses","9,291","28.3","12%","55 : 45"
"301–350","University of MilanItalyCourses","45,451","21.4","6%","59 : 41"
"301–350","Montpellier UniversityFranceCourses","39,405","19.5","15%","53 : 47"
"301–350","Nagoya UniversityJapanCourses","15,676","9.2","11%","30 : 70"
"301–350","University of NewcastleAustraliaCoursesEnquire","22,100","20.7","18%","55 : 45"
"301–350","University of New Mexico (Main campus)United StatesCoursesEnquire","19,382","17.1","5%","55 : 45"
"301–350","North Carolina State UniversityUnited StatesCoursesEnquire","30,231","12.5","15%","45 : 55"
"301–350","Nova Southeastern UniversityUnited StatesCoursesEnquire","17,785","23.4","6%","69 : 31"
"301–350","Osaka UniversityJapanCourses","22,892","7.4","11%","32 : 68"
"301–350","Politecnico di MilanoItalyCoursesExplore","35,184","25.0","17%","34 : 66"
"301–350","Reykjavík UniversityIcelandCourses","2,879","24.9","8%","41 : 59"
"301–350","Rush UniversityUnited StatesCoursesEnquire","2,425","2.0","1%","74 : 26"
"301–350","Southern University of Science and Technology (SUSTech)ChinaCoursesExplore","3,198","9.5","0%","27 : 73"
"301–350","Stony Brook UniversityUnited StatesCoursesEnquire","24,201","10.5","23%","50 : 50"
"301–350","Swedish University of Agricultural SciencesSwedenCoursesVerify Documents","3,737","4.5","4%","69 : 31"
"301–350","University of TartuEstoniaCourses","8,532","11.6","8%","68 : 32"
"301–350","University of TasmaniaAustraliaCoursesEnquire","18,219","24.9","30%","60 : 40"
"301–350","Temple UniversityUnited StatesCoursesEnquire","35,814","13.0","9%","53 : 47"
"301–350","The University of Tennessee-KnoxvilleUnited StatesCoursesEnquire","25,907","16.8","5%","n/a"
"301–350","University of Texas at DallasUnited StatesCoursesExplore","22,757","21.6","25%","43 : 57"
"301–350","University of TrentoItalyCourses","12,920","19.5","7%","51 : 49"
"301–350","Tulane UniversityUnited StatesCoursesEnquireAdmissions Support","11,185","9.8","11%","57 : 43"
"301–350","Umeå UniversitySwedenCourses","17,373","12.5","11%","60 : 40"
"301–350","United Arab Emirates UniversityUnited Arab EmiratesCoursesExplore","7,523","9.2","21%","83 : 17"
"301–350","Università della Svizzera italianaSwitzerlandCourses","2,768","10.8","67%","49 : 51"
"301–350","University College CorkIrelandCourses","16,861","18.0","18%","58 : 42"
"301–350","Victoria UniversityAustraliaCoursesEnquire","14,815","32.2","23%","53 : 47"
"351–400","University of Alaska FairbanksUnited StatesCoursesEnquire","3,593","8.7","5%","51 : 49"
"351–400","American University of BeirutLebanonCourses","8,401","8.5","21%","51 : 49"
"351–400","Australian Catholic UniversityAustraliaCoursesEnquire","23,886","43.5","12%","73 : 27"
"351–400","Babol Noshirvani University of TechnologyIranCourses","5,744","29.6","0%","32 : 68"
"351–400","University of BayreuthGermanyCoursesVerify Documents","9,255","29.7","10%","46 : 54"
"351–400","Birkbeck, University of LondonUnited KingdomCoursesEnquire","8,631","15.8","38%","54 : 46"
"351–400","University of BremenGermanyCoursesVerify Documents","18,915","31.9","12%","51 : 49"
"351–400","Brunel University LondonUnited KingdomCoursesEnquire","10,961","16.3","36%","47 : 53"
"351–400","University of California, MercedUnited StatesCoursesEnquire","7,324","20.9","8%","51 : 49"
"351–400","Catholic University of PortugalPortugalCourses","10,998","26.7","10%","60 : 40"
"351–400","Clark UniversityUnited StatesCoursesEnquire","3,045","11.5","23%","60 : 40"
"351–400","University of ConnecticutUnited StatesCoursesEnquire","32,446","15.2","9%","53 : 47"
"351–400","University of CreteGreeceCourses","13,321","23.4","4%","62 : 38"
"351–400","University of DenverUnited StatesCoursesEnquire","9,535","13.0","9%","57 : 43"
"351–400","University of FlorenceItalyCourses","34,686","20.4","11%","59 : 41"
"351–400","Goldsmiths, University of LondonUnited KingdomCoursesEnquire","8,486","15.3","35%","66 : 34"
"351–400","Hanyang UniversitySouth KoreaCoursesExplore","20,087","15.7","21%","n/a"
"351–400","Hasselt UniversityBelgiumCourses","5,189","31.1","13%","47 : 53"
"351–400","Hofstra UniversityUnited StatesCoursesExplore","10,066","13.9","9%","57 : 43"
"351–400","University of IcelandIcelandCourses","8,135","13.9","12%","67 : 33"
"351–400","IMT AtlantiqueFranceCourses","1,676","8.2","44%","26 : 74"
"351–400","Indian Institute of Technology IndoreIndiaCourses","1,128","9.7","0%","17 : 83"
"351–400","Iowa State UniversityUnited StatesCoursesEnquire","32,469","18.8","12%","44 : 56"
"351–400","Jordan University of Science and TechnologyJordanCourses","21,512","13.4","17%","58 : 42"
"351–400","Justus Liebig University GiessenGermanyCourses","28,575","46.8","9%","62 : 38"
"351–400","University of KentUnited KingdomCoursesExplore","17,754","20.0","31%","53 : 47"
"351–400","Khalifa UniversityUnited Arab EmiratesCoursesExplore","3,651","9.5","26%","55 : 45"
"351–400","Loughborough UniversityUnited KingdomCoursesEnquire","14,749","14.3","25%","40 : 60"
"351–400","University of ManitobaCanadaCoursesEnquire","29,311","29.4","17%","53 : 47"
"351–400","Nankai UniversityChinaCoursesExplore","28,061","13.3","7%","n/a"
"351–400","University of Naples Federico IIItalyCourses","49,604","19.6","2%","55 : 45"
"351–400","National Tsing Hua UniversityTaiwanCourses","14,853","18.0","10%","42 : 58"
"351–400","Northumbria UniversityUnited KingdomCoursesEnquire","21,811","17.5","17%","55 : 45"
"351–400","University of Occupational and Environmental Health, JapanJapanCoursesExplore","1,142","2.6","1%","54 : 46"
"351–400","Örebro UniversitySwedenCourses","9,735","18.5","6%","61 : 39"
"351–400","Oregon State UniversityUnited StatesCoursesEnquire","24,798","16.0","11%","46 : 54"
"351–400","University of PerugiaItalyCourses","24,830","32.3","6%","57 : 43"
"351–400","University of PisaItalyCourses","33,726","22.4","6%","51 : 49"
"351–400","RMIT UniversityAustraliaCoursesEnquire","33,848","22.4","30%","47 : 53"
"351–400","University of SalernoItalyCourses","24,290","25.8","2%","56 : 44"
"351–400","SUNY University at AlbanyUnited StatesCoursesEnquire","15,947","16.6","10%","52 : 48"
"351–400","University of StirlingUnited KingdomCourses","9,250","15.8","23%","63 : 37"
"351–400","Swinburne University of TechnologyAustraliaCoursesEnquire","14,379","27.9","27%","36 : 64"
"351–400","Taipei Medical UniversityTaiwanCoursesExplore","5,973","10.2","10%","57 : 43"
"351–400","TU Dortmund UniversityGermanyCourses","34,267","108.8","10%","45 : 55"
"351–400","University of TurkuFinlandCourses","12,785","16.3","6%","63 : 37"
"351–400","TU WienAustriaCourses","10,464","19.9","29%","29 : 71"
"351–400","Université de Versailles Saint-Quentin-en-YvelinesFranceCourses","16,621","21.2","15%","59 : 41"
"351–400","Washington State UniversityUnited StatesCoursesEnquire","27,957","18.1","7%","52 : 48"
"351–400","Wayne State UniversityUnited StatesCoursesEnquire","22,295","11.3","9%","55 : 45"
"351–400","Wuhan UniversityChinaCoursesExplore","52,502","14.6","7%","n/a"
"401–500","Aberystwyth UniversityUnited KingdomCoursesEnquire","6,866","16.2","19%","49 : 51"
"401–500","The University of AlabamaUnited StatesCoursesEnquire","35,120","22.5","4%","56 : 44"
"401–500","American UniversityUnited StatesCoursesEnquire","11,750","11.0","12%","65 : 35"
"401–500","Aswan UniversityEgyptCourses","22,393","40.8","0%","59 : 41"
"401–500","Bangor UniversityUnited KingdomCoursesEnquire","9,590","16.3","23%","58 : 42"
"401–500","University of Bari Aldo MoroItalyCourses","29,564","20.5","1%","61 : 39"
"401–500","Bond UniversityAustraliaCoursesEnquire","3,341","10.3","43%","54 : 46"
"401–500","University of BordeauxFranceCoursesExplore","54,965","21.6","13%","58 : 42"
"401–500","Bournemouth UniversityUnited KingdomCoursesEnquire","13,692","17.1","18%","55 : 45"
"401–500","Universiti Brunei DarussalamBrunei DarussalamCoursesExplore","3,830","10.9","15%","67 : 33"
"401–500","Cankaya UniversityTurkeyCourses","9,164","28.4","2%","45 : 55"
"401–500","Centrale NantesFranceCourses","1,706","16.1","45%","26 : 74"
"401–500","Central South UniversityChinaCoursesExplore","51,546","18.4","2%","n/a"
"401–500","Charles University in PragueCzech RepublicCourses","48,623","12.7","18%","62 : 38"
"401–500","City, University of LondonUnited KingdomCoursesEnquire","14,362","18.5","51%","56 : 44"
"401–500","Colorado State University, Fort CollinsUnited StatesCoursesEnquire","26,014","16.3","6%","53 : 47"
"401–500","University of Côte d’AzurFranceCourses","36,706","23.0","23%","55 : 45"
"401–500","Covenant UniversityNigeriaCoursesExplore","8,768","15.7","0%","43 : 57"
"401–500","University of CyprusCyprusCoursesExplore","6,635","22.0","11%","66 : 34"
"401–500","University of DesarrolloChileCoursesExplore","15,384","19.0","4%","56 : 44"
"401–500","Diego Portales UniversityChileCourses","17,287","14.9","2%","49 : 51"
"401–500","Drexel UniversityUnited StatesCoursesEnquire","19,801","11.1","17%","50 : 50"
"401–500","University of Eastern FinlandFinlandCourses","11,630","18.5","6%","64 : 36"
"401–500","École des Mines de Saint-ÉtienneFranceCourses","973","8.1","25%","28 : 72"
"401–500","Edith Cowan UniversityAustraliaCoursesExplore","17,560","31.3","26%","60 : 40"
"401–500","Federal University of Toulouse Midi-PyrénéesFranceCourses","103,857","19.2","14%","54 : 46"
"401–500","University of FerraraItalyCourses","14,644","25.2","7%","56 : 44"
"401–500","Free University of Bozen-BolzanoItalyCourses","3,891","12.0","13%","67 : 33"
"401–500","Fujita Health UniversityJapanCoursesExplore","2,942","3.2","0%","55 : 45"
"401–500","University of GenoaItalyCourses","23,977","19.5","9%","55 : 45"
"401–500","University of GeorgiaUnited StatesCoursesEnquire","35,164","16.3","7%","57 : 43"
"401–500","Georgia State UniversityUnited StatesCoursesEnquire","29,290","14.4","6%","61 : 39"
"401–500","Gwangju Institute of Science and TechnologySouth KoreaCourses","2,098","12.1","6%","25 : 75"
"401–500","Harbin Institute of TechnologyChinaCourses","29,603","9.9","12%","32 : 68"
"401–500","Hokkaido UniversityJapanCourses","18,225","8.1","11%","31 : 69"
"401–500","Hong Kong Baptist UniversityHong KongCoursesExplore","8,759","11.6","45%","65 : 35"
"401–500","University of HoustonUnited StatesCoursesEnquire","44,128","25.7","9%","50 : 50"
"401–500","Hunan UniversityChinaCourses","40,715","20.4","2%","46 : 54"
"401–500","Indian Institute of Technology BombayIndiaCourses","10,267","16.1","1%","19 : 81"
"401–500","Indian Institute of Technology DelhiIndiaCourses","7,284","14.8","1%","20 : 80"
"401–500","Indian Institute of Technology KharagpurIndiaCourses","9,167","12.3","0%","18 : 82"
"401–500","University of InnsbruckAustriaCourses","14,128","12.6","40%","53 : 47"
"401–500","ITMO UniversityRussian FederationCourses","10,206","13.1","16%","37 : 63"
"401–500","University of KansasUnited StatesCoursesEnquire","24,526","9.9","9%","52 : 48"
"401–500","University of KentuckyUnited StatesCoursesEnquire","27,078","12.4","4%","55 : 45"
"401–500","University of KwaZulu-NatalSouth AfricaCoursesExplore","36,660","29.2","4%","58 : 42"
"401–500","Kyushu UniversityJapanCourses","18,643","8.8","13%","28 : 72"
"401–500","Leibniz University HannoverGermanyCourses","27,625","54.0","14%","40 : 60"
"401–500","Linköping UniversitySwedenCoursesVerify Documents","18,544","11.2","12%","53 : 47"
"401–500","Liverpool John Moores UniversityUnited KingdomCoursesEnquire","19,461","17.4","14%","53 : 47"
"401–500","Mansoura UniversityEgyptCourses","140,126","24.9","3%","55 : 45"
"401–500","Middlesex UniversityUnited KingdomCoursesEnquire","15,649","18.0","45%","60 : 40"
"401–500","University of Milan-BicoccaItalyCourses","26,509","28.9","6%","62 : 38"
"401–500","University of Missouri-St LouisUnited StatesCoursesEnquire","7,019","16.0","6%","58 : 42"
"401–500","Mizzou - University of MissouriUnited StatesCoursesEnquire","28,513","13.3","6%","53 : 47"
"401–500","University of Modena and Reggio EmiliaItalyCourses","17,432","24.8","6%","54 : 46"
"401–500","Murdoch UniversityAustraliaCoursesExplore","14,905","27.7","37%","60 : 40"
"401–500","National Research Nuclear University MEPhIRussian FederationCourses","6,489","10.8","24%","31 : 69"
"401–500","University of Nebraska-LincolnUnited StatesCoursesExplore","24,610","17.2","11%","48 : 52"
"401–500","New Mexico Institute of Mining and TechnologyUnited StatesCoursesEnquire","1,809","11.3","8%","30 : 70"
"401–500","Norwegian University of Science and TechnologyNorwayCoursesVerify Documents","35,181","15.8","8%","48 : 52"
"401–500","Oklahoma State UniversityUnited StatesCoursesEnquire","21,494","15.8","7%","50 : 50"
"401–500","University of PaviaItalyCourses","24,623","41.5","8%","56 : 44"
"401–500","University of PeradeniyaSri LankaCourses","17,482","10.8","1%","61 : 39"
"401–500","University of the PhilippinesPhilippinesCourses","39,877","8.4","1%","58 : 42"
"401–500","Polytechnic University of BariItalyCourses","6,122","24.4","1%","33 : 67"
"401–500","Pontifical Javeriana UniversityColombiaCourses","30,048","15.4","1%","55 : 45"
"401–500","University of PortoPortugalCourses","32,020","18.7","15%","55 : 45"
"401–500","University of PortsmouthUnited KingdomCoursesEnquire","20,186","15.4","26%","45 : 55"
"401–500","Qatar UniversityQatarCourses","15,585","17.3","38%","76 : 24"
"401–500","Quaid-i-Azam UniversityPakistanCourses","14,694","24.8","1%","57 : 43"
"401–500","Rensselaer Polytechnic InstituteUnited StatesCoursesEnquireAdmissions Support","7,798","15.6","20%","32 : 68"
"401–500","Royal Veterinary CollegeUnited KingdomCoursesEnquire","2,067","10.9","19%","78 : 22"
"401–500","Sabancı UniversityTurkeyCoursesExplore","3,605","21.5","9%","37 : 63"
"401–500","University of St GallenSwitzerlandCourses","7,579","11.8","34%","35 : 65"
"401–500","University of SaskatchewanCanadaCoursesEnquireExplore","17,194","17.7","20%","56 : 44"
"401–500","Sciences PoFranceCourses","11,915","45.1","34%","60 : 40"
"401–500","Sejong UniversitySouth KoreaCourses","12,119","17.0","10%","47 : 53"
"401–500","Semmelweis UniversityHungaryCoursesExplore","10,996","9.8","31%","68 : 32"
"401–500","University of SienaItalyCourses","12,636","14.8","8%","59 : 41"
"401–500","SOAS University of LondonUnited KingdomCoursesExplore","5,194","12.1","53%","65 : 35"
"401–500","University of South Carolina-ColumbiaUnited StatesCoursesEnquire","32,291","16.2","5%","55 : 45"
"401–500","University of StrasbourgFranceCourses","46,898","18.8","20%","58 : 42"
"401–500","University of StrathclydeUnited KingdomCoursesEnquire","18,517","19.0","27%","50 : 50"
"401–500","Technion Israel Institute of TechnologyIsraelCourses","14,703","21.8","5%","36 : 64"
"401–500","Teikyo UniversityJapanCourses","22,873","16.7","2%","34 : 66"
"401–500","The University of Texas at San AntonioUnited StatesCoursesEnquire","24,435","24.5","4%","51 : 49"
"401–500","Tokyo Medical and Dental University (TMDU)JapanCourses","2,999","3.3","9%","49 : 51"
"401–500","Tongji UniversityChinaCourses","35,690","13.1","13%","45 : 55"
"401–500","University of TriesteItalyCourses","15,933","23.5","8%","55 : 45"
"401–500","University of TsukubaJapanCourses","16,844","13.6","21%","39 : 61"
"401–500","The University of TulsaUnited StatesCoursesEnquire","5,067","12.4","16%","45 : 55"
"401–500","University of TurinItalyCourses","55,957","29.6","8%","61 : 39"
"401–500","UiT The Arctic University of NorwayNorwayCourses","16,475","13.0","10%","59 : 41"
"401–500","University of Urbino Carlo BoItalyCourses","14,278","39.6","6%","61 : 39"
"401–500","University of ValenciaSpainCourses","50,311","14.9","12%","62 : 38"
"401–500","Verona UniversityItalyCourses","19,873","27.5","5%","64 : 36"
"401–500","University of VictoriaCanadaCoursesEnquire","21,169","25.7","20%","55 : 45"
"401–500","Yasouj UniversityIranCourses","6,332","27.5","0%","46 : 54"
"401–500","York UniversityCanadaCoursesExplore","46,683","35.4","24%","57 : 43"
"501–600","University of Alabama in HuntsvilleUnited StatesCoursesEnquire","6,729","16.3","8%","43 : 57"
"501–600","Amirkabir University of TechnologyIranCourses","11,580","21.6","2%","35 : 65"
"501–600","University of L’AquilaItalyCourses","18,867","55.3","4%","57 : 43"
"501–600","Aston UniversityUnited KingdomCoursesEnquire","11,113","21.1","26%","48 : 52"
"501–600","Universidad Autónoma de ChileChileCourses","23,312","26.2","1%","65 : 35"
"501–600","Bar-Ilan UniversityIsraelCourses","16,723","17.5","5%","60 : 40"
"501–600","Beihang UniversityChinaCourses","29,952","13.7","6%","n/a"
"501–600","Bilkent UniversityTurkeyCourses","10,374","14.5","9%","46 : 54"
"501–600","SUNY Binghamton UniversityUnited StatesCoursesEnquire","17,848","23.3","14%","49 : 51"
"501–600","Université Bourgogne Franche-Comté (UBFC)FranceCourses","59,858","32.9","11%","53 : 47"
"501–600","University of BresciaItalyCourses","14,206","27.2","7%","46 : 54"
"501–600","University of CampinasBrazilCourses","28,795","15.1","3%","47 : 53"
"501–600","Carleton UniversityCanadaCoursesEnquire","27,570","29.7","21%","48 : 52"
"501–600","University of CataniaItalyCourses","25,392","20.4","2%","57 : 43"
"501–600","Catholic University of the Sacred HeartItalyCourses","28,725","21.6","7%","65 : 35"
"501–600","CentraleSupélecFranceCourses","4,226","10.2","29%","22 : 78"
"501–600","Charles Darwin UniversityAustraliaCoursesEnquire","6,314","22.8","32%","66 : 34"
"501–600","Institute of Chemical TechnologyIndiaCourses","2,146","18.2","0%","34 : 66"
"501–600","China Medical University, TaiwanTaiwanCoursesExplore","7,603","16.5","8%","54 : 46"
"501–600","Chung-Ang UniversitySouth KoreaCourses","16,681","22.1","18%","n/a"
"501–600","Claude Bernard University Lyon 1FranceCourses","26,875","12.7","13%","53 : 47"
"501–600","Complutense University of MadridSpainCoursesVerify Documents","62,624","19.7","13%","61 : 39"
"501–600","East China Normal UniversityChinaCoursesExplore","25,747","11.5","17%","65 : 35"
"501–600","Florida International UniversityUnited StatesCoursesExplore","34,203","23.8","8%","57 : 43"
"501–600","University of GrazAustriaCourses","20,312","21.9","13%","65 : 35"
"501–600","Graz University of TechnologyAustriaCourses","6,370","10.0","20%","23 : 77"
"501–600","University of GreifswaldGermanyCourses","10,247","21.1","7%","56 : 44"
"501–600","University of GuelphCanadaCoursesEnquire","22,165","29.1","9%","59 : 41"
"501–600","Hacettepe UniversityTurkeyCourses","47,035","22.0","4%","56 : 44"
"501–600","University of HaifaIsraelCourses","16,164","21.0","2%","66 : 34"
"501–600","Hamburg University of TechnologyGermanyCourses","5,216","35.2","19%","27 : 73"
"501–600","University of HullUnited KingdomCoursesEnquire","14,047","18.2","19%","53 : 47"
"501–600","University of IbadanNigeriaCourses","26,648","16.4","1%","48 : 52"
"501–600","University of IdahoUnited StatesCoursesEnquire","9,694","17.0","8%","48 : 52"
"501–600","Indian Institute of Technology GandhinagarIndiaCourses","1,222","11.2","0%","22 : 78"
"501–600","Indian Institute of Technology RoorkeeIndiaCourses","7,561","16.4","2%","16 : 84"
"501–600","University of InsubriaItalyCourses","7,646","22.1","6%","55 : 45"
"501–600","University of JyväskyläFinlandCourses","10,200","15.0","5%","61 : 39"
"501–600","Kansai Medical UniversityJapanCourses","841","1.1","3%","38 : 62"
"501–600","University of KashanIranCourses","8,438","27.4","3%","53 : 47"
"501–600","Keele UniversityUnited KingdomCoursesEnquire","9,004","15.0","19%","56 : 44"
"501–600","King Fahd University of Petroleum and MineralsSaudi ArabiaCourses","6,882","6.8","13%","0 : 100"
"501–600","King Saud UniversitySaudi ArabiaCourses","38,971","10.4","10%","59 : 41"
"501–600","King Saud bin Abdulaziz University for Health SciencesSaudi ArabiaCourses","11,708","6.9","1%","52 : 48"
"501–600","Koç UniversityTurkeyCourses","5,381","15.6","6%","51 : 49"
"501–600","Lappeenranta-Lahti University of Technology LUTFinlandCoursesExplore","3,851","28.2","19%","31 : 69"
"501–600","University of LimerickIrelandCourses","14,221","21.7","17%","48 : 52"
"501–600","Lincoln UniversityNew ZealandCoursesEnquire","2,476","13.5","39%","49 : 51"
"501–600","University of LisbonPortugalCourses","47,886","17.7","12%","52 : 48"
"501–600","Louisiana State UniversityUnited StatesCoursesEnquire","29,169","20.7","6%","52 : 48"
"501–600","Marche Polytechnic UniversityItalyCourses","10,603","20.7","4%","48 : 52"
"501–600","Mashhad University of Medical SciencesIranCourses","9,134","10.6","3%","60 : 40"
"501–600","Massey UniversityNew ZealandCoursesEnquire","18,653","16.2","31%","62 : 38"
"501–600","Memorial University of NewfoundlandCanadaCoursesExplore","15,127","13.7","18%","57 : 43"
"501–600","Missouri University of Science and TechnologyUnited StatesCoursesEnquire","8,084","22.2","14%","23 : 77"
"501–600","National and Kapodistrian University of AthensGreeceCourses","57,697","28.4","10%","62 : 38"
"501–600","National Chiao Tung UniversityTaiwanCourses","12,017","16.7","12%","30 : 70"
"501–600","National Taiwan University of Science and Technology (Taiwan Tech)TaiwanCoursesExplore","8,340","19.5","15%","30 : 70"
"501–600","National Yang-Ming UniversityTaiwanCourses","4,258","5.1","2%","48 : 52"
"501–600","University of Nebraska Medical CenterUnited StatesCoursesEnquire","3,041","2.3","7%","68 : 32"
"501–600","University of NeuchâtelSwitzerlandCourses","4,284","12.8","22%","60 : 40"
"501–600","New Jersey Institute of TechnologyUnited StatesCoursesEnquire","9,279","15.1","17%","25 : 75"
"501–600","Northern Arizona UniversityUnited StatesCoursesEnquire","29,684","28.1","5%","60 : 40"
"501–600","North-West UniversitySouth AfricaCourses","36,749","29.9","4%","62 : 38"
"501–600","Norwegian University of Life SciencesNorwayCourses","5,790","6.9","21%","59 : 41"
"501–600","Novosibirsk State UniversityRussian FederationCourses","7,123","6.2","20%","n/a"
"501–600","The Open UniversityUnited KingdomCoursesEnquire","61,915","32.3","8%","62 : 38"
"501–600","Open University of CataloniaSpainCourses","22,962","84.5","2%","56 : 44"
"501–600","Universidad Peruana Cayetano HerediaPeruCourses","6,236","10.6","0%","66 : 34"
"501–600","Peter the Great St Petersburg Polytechnic UniversityRussian FederationCoursesExplore","18,251","9.0","28%","39 : 61"
"501–600","University of PlymouthUnited KingdomCoursesEnquire","17,667","17.2","15%","55 : 45"
"501–600","Polytechnic University of TurinItalyCourses","31,425","35.8","13%","28 : 72"
"501–600","Pontifical Catholic University of ChileChileCourses","28,541","15.0","7%","n/a"
"501–600","Renmin University of ChinaChinaCourses","25,590","12.5","6%","n/a"
"501–600","University of Rhode IslandUnited StatesCoursesEnquire","16,569","19.3","3%","57 : 43"
"501–600","University of Rome II – Tor VergataItalyCourses","34,965","19.9","11%","52 : 48"
"501–600","University of Rome IIIItalyCourses","31,696","50.1","5%","59 : 41"
"501–600","Rovira i Virgili UniversitySpainCourses","12,411","12.3","11%","59 : 41"
"501–600","San Diego State UniversityUnited StatesCoursesEnquire","30,799","30.5","8%","55 : 45"
"501–600","Sharif University of TechnologyIranCourses","9,260","19.8","2%","26 : 74"
"501–600","Shenzhen UniversityChinaCoursesExplore","35,171","15.5","1%","48 : 52"
"501–600","University of SiegenGermanyCourses","19,268","42.3","12%","50 : 50"
"501–600","Soochow UniversityChinaCoursesExplore","44,835","16.4","7%","54 : 46"
"501–600","South China University of TechnologyChinaCourses","41,139","13.9","5%","38 : 62"
"501–600","Southeast UniversityChinaCourses","32,951","11.6","5%","40 : 60"
"501–600","Suez Canal UniversityEgyptCourses","35,363","10.8","1%","58 : 42"
"501–600","Tehran University of Medical SciencesIranCourses","12,511","6.9","7%","58 : 42"
"501–600","Tianjin UniversityChinaCourses","34,780","14.0","6%","n/a"
"501–600","Tomsk State UniversityRussian FederationCourses","7,655","11.9","29%","n/a"
"501–600","Universiti Tunku Abdul Rahman (UTAR)MalaysiaCoursesExplore","18,763","16.1","2%","52 : 48"
"501–600","University of UdineItalyCourses","11,793","17.8","7%","53 : 47"
"501–600","Victoria University of WellingtonNew ZealandCoursesEnquire","17,442","18.9","21%","56 : 44"
"501–600","University of WaikatoNew ZealandCoursesEnquire","9,892","18.1","19%","58 : 42"
"501–600","The University of the West IndiesJamaicaCoursesExplore","23,305","22.2","1%","71 : 29"
"501–600","University of the West of ScotlandUnited KingdomCoursesEnquire","11,730","22.4","21%","59 : 41"
"501–600","University of Wisconsin-MilwaukeeUnited StatesCoursesEnquire","20,874","19.3","6%","53 : 47"
"501–600","University of WuppertalGermanyCourses","23,343","55.8","11%","52 : 48"
"501–600","Xiamen UniversityChinaCourses","40,841","14.6","4%","47 : 53"
"501–600","Xi’an Jiaotong UniversityChinaCourses","36,557","12.5","6%","32 : 68"
"501–600","Yokohama City UniversityJapanCourses","4,910","4.5","2%","56 : 44"
"601–800","Åbo Akademi UniversityFinlandCourses","5,295","17.5","16%","n/a"
"601–800","The University of AizuJapanCoursesExplore","1,165","10.8","5%","11 : 89"
"601–800","University of AlcaláSpainCourses","17,793","12.9","18%","56 : 44"
"601–800","Amedeo Avogadro University of Eastern PiedmontItalyCourses","13,447","36.1","6%","62 : 38"
"601–800","Amrita Vishwa VidyapeethamIndiaCourses","14,689","11.9","12%","n/a"
"601–800","University of the Andes, ColombiaColombiaCourses","15,521","13.2","2%","44 : 56"
"601–800","Aristotle University of ThessalonikiGreeceCourses","46,505","26.8","5%","58 : 42"
"601–800","University of ArkansasUnited StatesCoursesEnquire","24,754","19.8","5%","52 : 48"
"601–800","Auburn UniversityUnited StatesCoursesEnquire","26,641","18.8","9%","51 : 49"
"601–800","University of AveiroPortugalCourses","9,774","16.5","12%","51 : 49"
"601–800","University of the Balearic IslandsSpainCourses","11,277","12.8","7%","59 : 41"
"601–800","Banaras Hindu UniversityIndiaCourses","14,953","11.3","3%","10 : 90"
"601–800","University of the Basque CountrySpainCourses","42,485","14.8","4%","53 : 47"
"601–800","Baylor UniversityUnited StatesCoursesEnquire","17,078","16.2","6%","57 : 43"
"601–800","Beijing Institute of TechnologyChinaCourses","30,608","13.3","8%","35 : 65"
"601–800","University of Beira InteriorPortugalCourses","7,022","15.7","14%","52 : 48"
"601–800","Beni-Suef UniversityEgyptCourses","67,981","25.3","1%","46 : 54"
"601–800","University of BergamoItalyCourses","19,022","57.0","7%","61 : 39"
"601–800","Boğaziçi UniversityTurkeyCourses","13,202","23.2","3%","46 : 54"
"601–800","University of BrightonUnited KingdomCoursesEnquire","17,155","18.0","21%","59 : 41"
"601–800","Ca’ Foscari University of VeniceItalyCourses","15,636","27.7","10%","65 : 35"
"601–800","Cairo UniversityEgyptCourses","223,275","40.6","2%","48 : 52"
