Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
90,University of TübingenGermanyCoursesVerify Documents,"28,074",37.3,11%,58:42:00
91,University of HelsinkiFinlandCourses,"23,369",17,6%,65:35:00
92,Kyoto UniversityJapanCourses,"22,547",5.5,7%,n/a
93,Uppsala UniversitySwedenCoursesVerify Documents,"25,275",16.6,12%,57:43:00
94,Maastricht UniversityNetherlandsCoursesExplore,"16,030",18.3,47%,58:42:00
95,University of FreiburgGermanyCourses,"25,890",33.7,16%,52:48:00
96,Durham UniversityUnited KingdomCoursesEnquireAdmissions Support,"15,705",15.3,26%,54:46:00
97,Lund UniversitySwedenCoursesVerify Documents,"28,852",12,15%,53:47:00
98,Aarhus UniversityDenmarkCourses,"24,633",13.9,14%,55:45:00
99,University of BaselSwitzerlandCourses,"12,560",17.4,24%,54:46:00
100,"University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","29,304",17.2,18%,53:47:00
101,Michigan State UniversityUnited StatesCoursesEnquire,"45,297",15.8,16%,51:49:00
102,University of MannheimGermanyCoursesVerify Documents,"10,808",84,14%,55:45:00
103,University of MontrealCanadaCoursesExplore,"37,651",20.2,24%,58:42:00
104,Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support,"15,726",8.6,15%,54:46:00
105,Pohang University of Science and Technology (POSTECH)South KoreaCourses,"3,017",10,4%,0.970833333
106,University of ZurichSwitzerlandCourses,"26,042",6.1,18%,57:43:00
107,University of AlbertaCanadaCoursesEnquire,"33,159",21.1,24%,55:45:00
108,Vanderbilt UniversityUnited StatesCoursesEnquireAdmissions Support,"12,161",3.1,9%,52:48:00
109,University of SheffieldUnited KingdomCoursesEnquire,"23,961",15.3,33%,50:50:00
110,University of BernSwitzerlandCourses,"14,651",23.3,14%,55:45:00
111,University of St AndrewsUnited KingdomCoursesEnquireAdmissions Support,"8,453",12.2,46%,57:43:00
112,University of GöttingenGermanyCoursesVerify Documents,"26,549",26.1,12%,50:50:00
113,University of BonnGermanyCoursesVerify Documents,"33,939",73.3,13%,55:45:00
114,McMaster UniversityCanadaCoursesExplore,"23,943",20.4,16%,52:48:00
115,Queen Mary University of LondonUnited KingdomCourses,"14,502",13.2,42%,52:48:00
116,University of Colorado BoulderUnited StatesCoursesEnquire,"29,741",16.3,9%,44:56:00
117,École PolytechniqueFranceCoursesExplore,"2,669",5,31%,0.806944444
